,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,gender,capital.gain,capital.loss,hours.per.week,native.country,income,Prediction,Pred. Prob.,CI Low,CI High
6665,39,Private,548510,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,30,United-States,<=50K,>50K,0.6213365414526567,0.5942072231616587,0.6484658597436547
13228,36,Private,116608,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,38,United-States,<=50K,<=50K,0.8597507893622626,0.8229802828929242,0.8965212958316009
30557,34,Private,193285,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.6058072307579727,0.5665436333364786,0.6450708281794668
8103,40,Private,123557,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.5037894226501274,0.46721884984832535,0.5403599954519294
16814,26,Private,350853,5th-6th,3,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,,<=50K,<=50K,0.8632952295344619,0.8283845198989284,0.8982059391699955
20021,46,Private,98012,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,<=50K,0.8169457584020126,0.7748794744473366,0.8590120423566885
21857,80,Private,252466,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,24,United-States,<=50K,<=50K,0.5688597914288467,0.5372059848062155,0.6005135980514779
16729,35,Self-emp-inc,184655,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,62,United-States,<=50K,<=50K,0.5213999302024931,0.4874817341114397,0.5553181262935465
30440,25,Private,191782,11th,7,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States,<=50K,<=50K,0.906018529267167,0.8764975245893335,0.9355395339450004
30439,37,Private,356824,HS-grad,9,Separated,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K,<=50K,0.8764032164785253,0.8453800378690489,0.9074263950880016
12243,47,Private,212120,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K,>50K,0.6946515954568929,0.6692530835555437,0.7200501073582422
11035,21,Private,275421,Some-college,10,Never-married,Craft-repair,Own-child,White,Female,0,0,40,United-States,<=50K,<=50K,0.869825710854343,0.835831339926593,0.903820081782093
26766,37,Private,103925,Some-college,10,Never-married,Tech-support,Other-relative,White,Female,0,0,40,United-States,<=50K,<=50K,0.8406471483455242,0.8027160635892822,0.8785782331017663
8282,21,Private,123727,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Female,0,0,40,United-States,<=50K,<=50K,0.8875598973263812,0.858263102626034,0.9168566920267284
9348,26,Private,202203,Bachelors,13,Never-married,Adm-clerical,Other-relative,White,Female,0,0,50,United-States,<=50K,<=50K,0.8160050846079997,0.779700025122258,0.8523101440937414
21626,29,Private,285419,12th,8,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K,<=50K,0.8490272688687316,0.8120805225709282,0.885974015166535
30223,43,Self-emp-not-inc,116666,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,35,United-States,>50K,>50K,0.7137680605567484,0.6905856422179186,0.7369504788955781
14252,39,Private,189623,Bachelors,13,Divorced,Sales,Unmarried,White,Male,0,0,60,United-States,<=50K,<=50K,0.6137773313704216,0.5744154090452145,0.6531392536956286
5508,38,Private,83727,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,48,United-States,<=50K,<=50K,0.8830439364905588,0.8517608107981425,0.9143270621829751
3526,37,Private,236990,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3464,0,40,United-States,<=50K,<=50K,0.4988081447223667,0.4571206296106625,0.5404956598340708
27010,47,Private,175958,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K,>50K,0.7072837831821392,0.6856785309189789,0.7288890354452996
21845,60,Self-emp-not-inc,218085,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,50,United-States,<=50K,<=50K,0.6432554282102108,0.6103583348787187,0.6761525215417028
24720,24,Private,219510,Bachelors,13,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,32,United-States,<=50K,<=50K,0.8017036564367168,0.7613242862177921,0.8420830266556415
6425,35,Private,101387,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,50,United-States,<=50K,<=50K,0.8287485719485821,0.7880491203608485,0.8694480235363157
15754,65,Private,261334,9th,5,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,<=50K,0.8099077936814144,0.7668854863084532,0.8529301010543756
23859,22,Private,185452,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K,<=50K,0.8644629950677823,0.8309028071586466,0.8980231829769181
2340,64,,159938,HS-grad,9,Divorced,,Not-in-family,White,Male,8614,0,40,United-States,>50K,>50K,0.36994666202608284,0.32258077458375956,0.4173125494684061
16783,67,Private,274451,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,16,United-States,<=50K,<=50K,0.6524150600129747,0.6184765640694706,0.6863535559564787
15276,48,Private,168216,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,<=50K,0.5149801168427685,0.4795123562260579,0.550447877459479
26348,45,Local-gov,53123,11th,7,Married-civ-spouse,Other-service,Wife,White,Female,0,0,25,United-States,<=50K,<=50K,0.6889411389062713,0.6564440963442552,0.7214381814682874
10864,20,Private,121023,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,15,United-States,<=50K,<=50K,0.8906727548994969,0.8578104280461273,0.9235350817528666
17979,36,Private,76845,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,<=50K,<=50K,0.8838406124933462,0.8501186135000479,0.9175626114866445
17141,21,Private,82847,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,50,United-States,<=50K,<=50K,0.8097707239130162,0.7662295495787195,0.8533118982473129
7687,54,State-gov,198186,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,38,United-States,<=50K,<=50K,0.8524035948948407,0.8139459156491944,0.8908612741404871
12478,33,Private,252168,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K,<=50K,0.5976578388920073,0.5583374220465521,0.6369782557374625
16324,39,Private,76767,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,60,United-States,<=50K,<=50K,0.810498963680603,0.7720738951268169,0.8489240322343892
23576,18,Local-gov,152182,10th,6,Never-married,Protective-serv,Own-child,White,Female,0,0,6,United-States,<=50K,<=50K,0.910290718367378,0.8899481446534011,0.9306332920813548
32178,21,Private,119156,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,<=50K,0.8795293479159241,0.8431776747402147,0.9158810210916335
26255,40,Private,199303,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.6023521167435972,0.5665973721518917,0.6381068613353028
12062,31,Self-emp-inc,117963,Doctorate,16,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K,<=50K,0.6435198591749197,0.6121009228900878,0.6749387954597517
19856,30,Private,128065,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,<=50K,<=50K,0.5110202282559997,0.47608733711334356,0.5459531193986558
24694,49,Local-gov,123088,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,<=50K,<=50K,0.4475258481302258,0.4188690032085482,0.47618269305190336
30824,75,,114204,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,13,United-States,<=50K,<=50K,0.6028795994225978,0.5714409569938246,0.6343182418513711
30920,51,Private,182944,HS-grad,9,Widowed,Tech-support,Unmarried,Black,Female,0,0,40,United-States,<=50K,<=50K,0.817939209398959,0.7783088291919126,0.8575695896060055
28565,23,State-gov,56402,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,30,United-States,<=50K,<=50K,0.6066005432632793,0.5750512491254375,0.6381498374011211
22583,25,Private,236977,HS-grad,9,Separated,Craft-repair,Own-child,White,Male,0,0,40,Mexico,<=50K,<=50K,0.8656794348711538,0.8300874568700601,0.9012714128722475
20313,17,Private,104232,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,10,United-States,<=50K,<=50K,0.9018438028261722,0.8732200078843627,0.9304675977679816
19482,47,Private,114459,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,<=50K,0.5826473935404679,0.548231132469569,0.6170636546113668
21865,51,Local-gov,193720,HS-grad,9,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K,<=50K,0.7736482193056,0.7359359297235659,0.8113605088876341
30057,17,Private,47425,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,<=50K,<=50K,0.9025905760553785,0.873688172943175,0.931492979167582
4549,26,Federal-gov,185885,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,15,United-States,<=50K,<=50K,0.9007760875045985,0.8704047616290657,0.9311474133801313
6518,34,Private,213226,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,>50K,>50K,0.5753907362854234,0.5465179991091844,0.6042634734616623
7346,73,Private,247355,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,16,Canada,<=50K,<=50K,0.6459108337707441,0.6153932697568548,0.6764283977846334
4696,57,Private,190942,1st-4th,2,Widowed,Priv-house-serv,Not-in-family,Black,Female,0,0,30,United-States,<=50K,<=50K,0.8569001224185041,0.8177942964964847,0.8960059483405235
17069,25,,47011,Bachelors,13,Never-married,,Own-child,White,Male,0,0,20,United-States,<=50K,<=50K,0.8513837572221999,0.813660574116699,0.8891069403277009
27654,24,State-gov,43475,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,<=50K,0.8040610443399855,0.7657816604562045,0.8423404282237664
10734,83,Private,195507,HS-grad,9,Widowed,Protective-serv,Not-in-family,White,Male,0,0,55,United-States,<=50K,<=50K,0.753673420087126,0.7144630225341316,0.7928838176401204
5287,33,,163003,HS-grad,9,Divorced,,Not-in-family,Asian-Pac-Islander,Female,0,0,41,China,<=50K,<=50K,0.8265157735133354,0.7847783668406598,0.8682531801860109
8450,46,Private,72619,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K,<=50K,0.49890151192807003,0.4711508410131569,0.5266521828429832
13381,27,Private,200733,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,55,United-States,<=50K,<=50K,0.5763976269526151,0.5354587518937881,0.6173365020114421
9759,29,Private,225024,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,<=50K,0.8244316302878897,0.7834531655923687,0.8654100949834107
20981,56,Private,134756,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K,<=50K,0.8530844377731442,0.8134864108609337,0.8926824646853548
25672,35,Federal-gov,84848,Some-college,10,Never-married,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,<=50K,<=50K,0.8620180097932182,0.8269643370164904,0.897071682569946
1529,65,Self-emp-inc,139272,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,99999,0,60,United-States,>50K,>50K,0.8335709172488539,0.8274554290583911,0.8396864054393167
18418,19,Private,343200,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,<=50K,<=50K,0.9007755923821938,0.86997078404349,0.9315804007208977
17908,33,Self-emp-not-inc,222162,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.6203304562032834,0.5835950389095615,0.6570658734970053
8179,18,Private,353358,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States,<=50K,<=50K,0.8685359802199178,0.833847814469382,0.9032241459704536
11190,33,Private,156192,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,>50K,0.6895086719701928,0.6628199864763867,0.7161973574639989
20892,45,Private,131826,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.5130078462199393,0.4753059931090459,0.5507096993308328
18916,25,Local-gov,77698,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K,<=50K,0.8574295272696416,0.8224120782036168,0.8924469763356664
15752,31,Private,442429,HS-grad,9,Separated,Craft-repair,Unmarried,White,Female,0,0,40,Mexico,<=50K,<=50K,0.8269723948718846,0.7875484864084132,0.8663963033353559
8107,46,Private,117502,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K,<=50K,0.5890075037392037,0.5561506826352995,0.6218643248431079
16225,37,Federal-gov,125933,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,<=50K,0.5594376210633001,0.5234266924598414,0.5954485496667588
23759,51,Private,82566,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K,<=50K,0.5520345534399224,0.5161368610808219,0.5879322457990228
4604,34,Local-gov,117018,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Female,0,0,40,United-States,<=50K,<=50K,0.782493797917541,0.7430000001477262,0.8219875956873559
12930,37,Private,126743,1st-4th,2,Married-civ-spouse,Other-service,Husband,White,Male,0,0,53,Mexico,<=50K,<=50K,0.6826147603991447,0.6478087562195679,0.7174207645787215
26096,39,Private,318416,10th,6,Separated,Other-service,Own-child,Black,Female,0,0,12,United-States,<=50K,<=50K,0.8977368167002118,0.8688067018873431,0.9266669315130804
4566,19,Private,232392,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,0,0,40,United-States,<=50K,<=50K,0.8770170622668959,0.843144189757841,0.9108899347759508
14053,43,Private,85995,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,<=50K,0.8159662678906691,0.7776282486846642,0.8543042870966739
16566,46,Self-emp-not-inc,157117,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.5937795229623027,0.5575481585562791,0.6300108873683263
5960,28,Private,246595,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,70,United-States,<=50K,<=50K,0.8531729583463601,0.8161679759875577,0.8901779407051624
7014,25,Self-emp-not-inc,113436,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,0,35,United-States,<=50K,<=50K,0.8294234520031146,0.7919452509213117,0.8669016530849175
12916,28,Private,118861,10th,6,Married-civ-spouse,Craft-repair,Wife,Other,Female,0,0,48,Guatemala,<=50K,<=50K,0.6590370730810606,0.6264290735303014,0.6916450726318198
17579,18,Private,133055,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K,<=50K,0.9110902878921705,0.8821626532076075,0.9400179225767336
23923,60,Self-emp-inc,189098,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.5625034507843797,0.527884514921807,0.5971223866469524
27514,26,Private,293690,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,58,United-States,>50K,>50K,0.5696057160705885,0.5389443160473812,0.6002671160937958
26222,24,Private,90934,Bachelors,13,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,55,United-States,<=50K,<=50K,0.774550567188425,0.733296624325279,0.815804510051571
30010,31,Private,243165,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Male,0,0,40,United-States,<=50K,<=50K,0.7540492573239965,0.7139541842593142,0.7941443303886788
23750,53,State-gov,231472,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,>50K,0.7753633082603014,0.7567501704016426,0.7939764461189602
19840,45,Private,178341,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,>50K,0.7442778058124674,0.7224121919462365,0.7661434196786983
6146,33,Private,127215,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K,<=50K,0.5287508237005341,0.49180843635580984,0.5656932110452583
30149,41,Private,169104,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,,>50K,>50K,0.5744202221475201,0.5459887773169998,0.6028516669780404
19025,21,Private,277530,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K,<=50K,0.8949103803430656,0.8646539540323244,0.9251668066538068
31056,37,Private,238433,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Cuba,<=50K,<=50K,0.6192074229948925,0.5826227069492987,0.6557921390404863
30258,38,Federal-gov,65706,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,38,United-States,<=50K,<=50K,0.7937348966408746,0.7556997497837104,0.8317700434980388
12345,46,Private,213408,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,40,Cuba,<=50K,<=50K,0.8526791941103912,0.8172013537208979,0.8881570344998845
18312,56,Private,101436,HS-grad,9,Divorced,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Female,0,0,35,United-States,<=50K,<=50K,0.8454264002027136,0.8087161317494005,0.8821366686560268
32544,72,,129912,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,25,United-States,<=50K,<=50K,0.6517322426932828,0.6198214887225848,0.6836429966639808
24364,36,Private,162164,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,<=50K,<=50K,0.6248269520956184,0.5903261912483142,0.6593277129429227
11296,32,Private,200246,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,>50K,0.6532926160515076,0.6236960677443841,0.682889164358631
24260,30,Private,170065,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.5976818548241732,0.5628995218331856,0.6324641878151609
19485,29,Private,59231,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,42,United-States,<=50K,<=50K,0.6173009341986166,0.5826417099807741,0.6519601584164592
23514,37,Self-emp-not-inc,607848,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,>50K,0.5757488616136468,0.5467195215225459,0.6047782017047477
15077,57,Private,103403,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.6267733674248555,0.5944568199368274,0.6590899149128835
2649,42,Private,24982,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K,>50K,0.5818128432931198,0.5458102064565284,0.6178154801297111
7240,46,State-gov,106705,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,38,United-States,<=50K,<=50K,0.6781758060556384,0.6405433994579799,0.715808212653297
30943,27,,146651,HS-grad,9,Married-civ-spouse,,Own-child,White,Female,0,0,15,United-States,<=50K,<=50K,0.7730040384428167,0.7384497947806041,0.8075582821050293
8683,39,Self-emp-not-inc,124090,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.6409241318331592,0.604383267748895,0.6774649959174235
20696,39,Private,319248,10th,6,Never-married,Other-service,Unmarried,White,Female,0,0,25,Mexico,<=50K,<=50K,0.8895781742816427,0.8575418280775955,0.9216145204856898
25355,31,Private,202729,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,<=50K,0.6051277639720687,0.5640788949630309,0.6461766329811065
17386,41,Private,154668,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.4992487090960989,0.46789843077516446,0.5305989874170334
4481,29,Local-gov,220419,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Male,0,0,56,United-States,<=50K,<=50K,0.6837334646047905,0.6413357722521258,0.7261311569574551
12971,33,Self-emp-inc,281832,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Cuba,>50K,>50K,0.7532907133259381,0.7342498469681596,0.7723315796837166
29912,23,Private,163665,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,<=50K,<=50K,0.8892032524711098,0.856911782223107,0.9214947227191125
25304,34,Private,37210,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,50,United-States,<=50K,<=50K,0.8341141508512806,0.7933776448270686,0.8748506568754926
21501,29,Private,162312,Assoc-voc,11,Never-married,Machine-op-inspct,Not-in-family,Other,Male,0,0,40,United-States,<=50K,<=50K,0.837821274029416,0.7981162914767163,0.8775262565821157
10861,41,Private,155106,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.5716943766751161,0.532224385374771,0.6111643679754613
29187,37,Private,184556,Some-college,10,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K,<=50K,0.8264465144817588,0.7849478336392433,0.8679451953242743
26171,28,Private,233275,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K,<=50K,0.7459139869470696,0.7042502764826957,0.7875776974114435
1096,21,Private,132053,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,1721,35,United-States,<=50K,<=50K,0.8895581681441262,0.8595505181584286,0.9195658181298239
24684,21,Private,202871,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,44,United-States,<=50K,<=50K,0.8387589151238259,0.7991596151587215,0.8783582150889304
31405,40,Private,100292,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,52,United-States,>50K,<=50K,0.5538946577352979,0.519446526990909,0.5883427884796868
4786,21,Private,226181,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,<=50K,0.8133110041246782,0.7744324759712848,0.8521895322780715
11627,49,Private,128736,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K,<=50K,0.7912072890479824,0.7579630895033488,0.8244514885926161
9529,58,Private,117477,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,36,United-States,<=50K,<=50K,0.8699564415631211,0.8353380713224593,0.904574811803783
3853,75,Private,104896,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,2653,0,20,United-States,<=50K,<=50K,0.5909557535527943,0.5544176924118369,0.6274938146937517
11514,26,Private,161007,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,80,United-States,<=50K,<=50K,0.5734379859243347,0.5375883601876825,0.6092876116609869
27356,21,Private,154835,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,Vietnam,<=50K,<=50K,0.8946003648717828,0.8639696177585552,0.9252311119850105
12291,36,Private,215392,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K,<=50K,0.7432413317681966,0.700015164516845,0.7864674990195483
1423,45,Self-emp-inc,311231,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1485,50,United-States,>50K,>50K,0.8401580773119687,0.8253756454993193,0.854940509124618
27133,28,Private,274679,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K,<=50K,0.696514088111606,0.6598548988968546,0.7331732773263574
4046,41,Private,45156,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,2174,0,41,United-States,<=50K,<=50K,0.7599059267441164,0.7142229278671495,0.8055889256210833
14487,27,Private,158647,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,<=50K,0.8521810362034831,0.8128089523114548,0.8915531200955114
23442,18,Private,128086,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,18,United-States,<=50K,<=50K,0.8919477336722029,0.8592642394723796,0.9246312278720262
3268,34,Self-emp-not-inc,254304,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,4508,0,90,United-States,<=50K,<=50K,0.5408164691227649,0.4996667635759865,0.5819661746695434
11229,33,Private,236818,Assoc-voc,11,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,26,United-States,<=50K,<=50K,0.8287212211926195,0.7899240136002185,0.8675184287850205
23328,50,Local-gov,46401,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,50,United-States,<=50K,<=50K,0.7717788045413364,0.7346763375324137,0.8088812715502591
27336,32,Self-emp-inc,124919,Bachelors,13,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,50,Iran,>50K,>50K,0.5443627056634929,0.5147609943525423,0.5739644169744434
20537,69,Local-gov,197288,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,<=50K,<=50K,0.507930827284859,0.4742488353047545,0.5416128192649636
6008,32,Private,549430,HS-grad,9,Never-married,Priv-house-serv,Unmarried,White,Female,0,0,40,Mexico,<=50K,<=50K,0.8576123619245596,0.8204228656044427,0.8948018582446765
11353,21,Private,118657,HS-grad,9,Separated,Machine-op-inspct,Other-relative,White,Male,0,0,40,United-States,<=50K,<=50K,0.7921332351561178,0.7523752019602085,0.8318912683520271
17668,20,Private,451996,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,<=50K,0.8935353065947345,0.8613059051234141,0.9257647080660548
22306,29,Private,203797,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,<=50K,<=50K,0.5122159379150059,0.47713821302542003,0.5472936628045917
