,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Prediction,Pred. Prob.,CI Low,CI High
667,27,female,2,own,little,,3609,48,business,good,good,0.7146566467096727,0.7048029099326258,0.7245103834867195
85,29,female,3,own,little,,1412,12,business,good,good,0.8209492352886022,0.8137846342166164,0.828113836360588
969,40,male,1,own,little,little,3939,11,car,good,good,0.556227602540751,0.5443078550206188,0.5681473500608831
75,66,male,3,free,little,little,1526,12,car,good,good,0.6029509747807363,0.5954867431214145,0.6104152064400582
786,40,male,2,own,quite rich,,2675,22,radio/TV,good,good,0.8910234999691098,0.8874888875868785,0.8945581123513411
658,28,female,2,own,little,moderate,4221,30,business,good,good,0.6194928869614396,0.611567653572653,0.6274181203502261
465,63,male,2,own,little,little,2924,24,car,good,good,0.5152220866066088,0.5070751421548284,0.5233690310583893
920,28,female,2,own,little,,1817,18,furniture/equipment,good,good,0.8251735708881334,0.8160381552603997,0.834308986515867
38,37,male,2,own,little,rich,1225,10,domestic appliances,good,good,0.7803841824579962,0.7740779812114144,0.7866903837045781
944,46,female,2,rent,little,little,1845,15,furniture/equipment,good,good,0.5128674580555788,0.5037484993325679,0.5219864167785896
725,41,female,1,own,rich,,250,6,car,good,good,0.8962324150508222,0.8936021465599817,0.8988626835416627
436,23,male,1,rent,quite rich,,660,6,repairs,good,good,0.7227327740945279,0.7167926154359437,0.728672932753112
140,27,male,0,own,rich,rich,709,6,car,good,good,0.7833570157506979,0.7774077380091183,0.7893062934922775
818,43,male,3,own,little,little,15857,36,vacation/others,good,bad,0.6352583200558584,0.633217114824133,0.6372995252875837
602,34,female,1,free,little,moderate,1837,24,education,bad,good,0.6193313437417958,0.6143775304102551,0.6242851570733364
745,28,male,1,own,little,little,1797,13,business,good,good,0.5526175054701552,0.5412731379200352,0.5639618730202752
471,23,female,2,own,little,little,448,6,education,bad,good,0.5886232225275603,0.578725436405543,0.5985210086495776
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good,good,0.6496088477438774,0.6417331992246325,0.6574844962631223
416,33,male,1,own,little,little,2579,12,car,bad,good,0.5607052912235347,0.5481924143788135,0.573218168068256
711,35,female,2,free,little,little,1198,6,education,bad,good,0.5829092668668671,0.5743435007051622,0.591475033028572
557,29,female,2,own,,,5003,21,car,bad,good,0.8718073920434851,0.8658450182262056,0.8777697658607646
50,29,male,1,own,,moderate,2333,24,furniture/equipment,good,good,0.7574541353756132,0.7509193218511685,0.763988948900058
162,36,male,2,own,quite rich,,1262,15,domestic appliances,good,good,0.8927544297704884,0.8892375424424955,0.8962713170984812
765,40,male,1,own,little,moderate,1155,12,radio/TV,good,good,0.7328970763472822,0.7245982636541227,0.7411958890404416
856,40,female,2,own,,,894,10,education,good,good,0.9112338955137236,0.9071761370886433,0.9152916539388039
867,42,male,2,own,little,,3331,12,furniture/equipment,good,good,0.8642593185930393,0.858493198659921,0.8700254385261575
524,26,female,1,own,little,moderate,1113,18,radio/TV,good,good,0.6722447966139943,0.6640743850151458,0.6804152082128427
443,41,male,1,own,little,,719,12,education,bad,good,0.8729053030333812,0.8687868655724453,0.8770237404943171
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad,good,0.651310653450739,0.6447883845556646,0.6578329223458135
956,49,male,1,own,,rich,3656,30,radio/TV,good,good,0.7982890679534232,0.7944835386859928,0.8020945972208537
330,75,male,3,free,little,little,6615,24,car,good,good,0.4981546725528409,0.48939992580781766,0.5069094192978641
352,38,male,3,own,,,3229,18,car,good,good,0.8946691586897364,0.8899678539966122,0.8993704633828606
857,28,male,2,free,little,,3343,15,furniture/equipment,good,good,0.7811324492638266,0.7721753900882484,0.7900895084394048
766,31,male,1,own,little,little,3108,30,furniture/equipment,bad,bad,0.507541304093042,0.5016576860236525,0.5134249221624315
39,24,male,2,own,little,moderate,458,9,radio/TV,good,good,0.6965354697974597,0.6859058808749728,0.7071650587199466
852,35,male,2,free,little,,1471,15,radio/TV,good,good,0.8487166033711158,0.8444505327412761,0.8529826740009554
875,40,female,2,own,rich,moderate,1322,11,car,good,good,0.7299288909796467,0.7231240567372007,0.7367337252220928
156,48,male,2,own,moderate,little,1288,9,repairs,good,good,0.607043938023841,0.5963036253811109,0.6177842506665712
222,30,male,2,own,little,,707,12,radio/TV,good,good,0.8727336082405808,0.865464354232409,0.8800028622487526
641,38,male,1,own,little,moderate,1308,15,repairs,good,good,0.6796329186887735,0.672565215965712,0.6867006214118351
210,33,male,2,own,,,3074,9,radio/TV,good,good,0.9245960629857681,0.9193928849363493,0.929799241035187
746,23,female,2,rent,little,little,2511,15,car,good,bad,0.5288829631113322,0.5180643772639136,0.5397015489587508
960,30,male,2,rent,little,,1740,6,radio/TV,good,good,0.8102059319103263,0.8020802529792729,0.8183316108413797
700,29,female,1,rent,quite rich,,1123,12,furniture/equipment,bad,good,0.8265070996097288,0.820734263054157,0.8322799361653006
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good,good,0.6918907490636598,0.685167408777062,0.6986140893502576
998,23,male,2,free,little,little,1845,45,radio/TV,bad,bad,0.5801215652929362,0.5754275266466504,0.584815603939222
984,30,male,1,own,little,,2028,24,furniture/equipment,good,good,0.8279257933747957,0.8211964146200996,0.8346551721294917
491,42,female,3,free,little,moderate,8318,27,business,bad,good,0.5447470607537942,0.532900935409699,0.5565931860978894
10,25,female,2,rent,little,moderate,1295,12,car,bad,good,0.6076851867397243,0.5978421252278734,0.6175282482515752
